id,title,scheme
oefos:103025,Quantum mechanics,oefos
oefos:103026,Quantum optics,oefos
oefos:103027,Reactor physics,oefos
oefos:103028,Theory of relativity,oefos
oefos:103029,Statistical physics,oefos
oefos:103030,Radiation physics,oefos
oefos:103032,Fluid mechanics,oefos
oefos:103033,Superconductivity,oefos
oefos:103034,Particle physics,oefos
oefos:103035,Theoretical mechanics,oefos
oefos:103036,Theoretical physics,oefos
oefos:103037,Environmental physics,oefos
oefos:103038,Space exploration,oefos
oefos:103039,Aerosol physics,oefos
oefos:103040,Photonics,oefos
oefos:103041,Astroparticle physics,oefos
oefos:103042,Electron microscopy,oefos
oefos:103043,Computational physics,oefos
oefos:104001,General chemistry,oefos
oefos:104002,Analytical chemistry,oefos
oefos:104003,Inorganic chemistry,oefos
oefos:104004,Chemical biology,oefos
oefos:104005,Electrochemistry,oefos
oefos:104006,Solid state chemistry,oefos
oefos:104007,History of chemistry,oefos
oefos:104008,Catalysis,oefos
oefos:104009,Food chemistry,oefos
oefos:104010,Macromolecular chemistry,oefos
oefos:104011,Materials chemistry,oefos
oefos:104012,Microanalysis,oefos
oefos:104013,Natural product chemistry,oefos
oefos:104014,Surface chemistry,oefos
oefos:104015,Organic chemistry,oefos
oefos:104016,Photochemistry,oefos
oefos:104017,Physical chemistry,oefos
oefos:104018,Polymer chemistry,oefos
oefos:104019,Polymer sciences,oefos
oefos:104020,Radiochemistry,oefos
oefos:104021,Structural chemistry,oefos
oefos:104022,Theoretical chemistry,oefos
oefos:104023,Environmental chemistry,oefos
oefos:104024,X-ray structural analysis,oefos
oefos:104025,Single-molecule chemistry,oefos
oefos:104026,Spectroscopy,oefos
oefos:105101,General geology,oefos
oefos:105102,General geophysics,oefos
oefos:105104,Erosion,oefos
oefos:105105,Geochemistry,oefos
oefos:105106,Geodynamics,oefos
oefos:105107,Geoelectrics,oefos
oefos:105108,Geostatistics,oefos
oefos:105109,Geothermics,oefos
oefos:105110,History of geology,oefos
oefos:105111,Gravimetry,oefos
oefos:105112,Historical geology,oefos
oefos:105113,Crystallography,oefos
oefos:105114,Cultural geology,oefos
oefos:105115,Magnetics,oefos
oefos:105116,Mineralogy,oefos
oefos:105117,Palaeobotany,oefos
oefos:105118,Palaeontology,oefos
oefos:105119,Petrography,oefos
oefos:105120,Petrology,oefos
oefos:105121,Sedimentology,oefos
oefos:105122,Seismic,oefos
oefos:105123,Stratigraphy,oefos
oefos:105124,Tectonics,oefos
oefos:105125,Petrophysics,oefos
oefos:105126,Applied geophysics,oefos
oefos:105127,Geochronology,oefos
oefos:105128,Geomicrobiology,oefos
oefos:105201,Aeronomy,oefos
oefos:105202,Agricultural meteorology,oefos
oefos:105203,Bioclimatology,oefos
oefos:105204,Climatology,oefos
oefos:105205,Climate change,oefos
oefos:105206,Meteorology,oefos
oefos:105207,Mountain meteorology,oefos
oefos:105208,Atmospheric chemistry,oefos
oefos:105301,Water protection,oefos
oefos:105302,Hydrochemistry,oefos
oefos:105303,Hydrogeology,oefos
oefos:105304,Hydrology,oefos
oefos:105305,Hydrometry,oefos
oefos:105306,Oceanography,oefos
oefos:105307,Water quality,oefos
oefos:105308,Water resources,oefos
oefos:105401,Biogeography,oefos
oefos:105402,Soil geography,oefos
oefos:105404,Geomorphology,oefos
oefos:105405,Geoecology,oefos
oefos:105408,Physical geography,oefos
oefos:105409,Topography,oefos
oefos:105901,Glaciology,oefos
oefos:105902,Natural hazards,oefos
oefos:105903,Speleology,oefos
oefos:105904,Environmental research,oefos
oefos:105905,Environmental protection,oefos
oefos:105906,Environmental geosciences,oefos
oefos:105907,Polar research,oefos
oefos:106001,General biology,oefos
oefos:106002,Biochemistry,oefos
oefos:106003,Biodiversity research,oefos
oefos:106004,Bioethics,oefos
oefos:106005,Bioinformatics,oefos
oefos:106006,Biophysics,oefos
oefos:106007,Biostatistics,oefos
oefos:106008,Botany,oefos
oefos:106009,Chronobiology,oefos
oefos:106010,Developmental biology,oefos
oefos:106011,Alternatives to animal testing,oefos
oefos:106012,Evolutionary research,oefos
oefos:106013,Genetics,oefos
oefos:106014,Genomics,oefos
oefos:106015,Geobotany,oefos
oefos:106016,History of biology,oefos
oefos:106017,Glycobiology,oefos
oefos:106018,Human biology,oefos
oefos:106019,Hydrobiology,oefos
oefos:106020,Limnology,oefos
oefos:106021,Marine biology,oefos
oefos:106022,Microbiology,oefos
oefos:106023,Molecular biology,oefos
oefos:106024,Mycology,oefos
oefos:106026,Ecosystem research,oefos
oefos:106027,Ecotoxicology,oefos
oefos:106028,Plant anatomy,oefos
oefos:106029,Plant morphology,oefos
oefos:106030,Plant ecology,oefos
oefos:106031,Plant physiology,oefos
oefos:106032,Photobiology,oefos
oefos:106033,Phylogeny,oefos
oefos:106034,Phytochemistry,oefos
oefos:106035,Phytogeography,oefos
oefos:106036,Population genetics,oefos
oefos:106037,Proteomics,oefos
oefos:106038,Reproductive biology,oefos
oefos:106039,Stem cell research,oefos
oefos:106040,Radiation biology,oefos
oefos:106041,Structural biology,oefos
oefos:106042,Systematic botany,oefos
oefos:106043,Systematic zoology,oefos
oefos:106044,Systems biology,oefos
oefos:106045,Theoretical biology,oefos
oefos:106046,Animal anatomy,oefos
oefos:106047,Animal ecology,oefos
oefos:106048,Animal physiology,oefos
oefos:106049,Ultrastructure research,oefos
oefos:106050,Vegetation science,oefos
oefos:106051,Behavioural biology,oefos
oefos:106053,Zoogeography,oefos
oefos:106054,Zoology,oefos
oefos:106055,Aerobiology,oefos
oefos:106056,Biological anthropology,oefos
oefos:106057,Metabolomics,oefos
oefos:107001,Archaeometry,oefos
oefos:107003,History of natural sciences,oefos
oefos:107004,Human ecology,oefos
oefos:107006,Nature conservation,oefos
oefos:107008,Archaeobotany,oefos
oefos:201101,Construction operation,oefos
oefos:201102,Structural dynamics,oefos
oefos:201103,Building physics,oefos
oefos:201104,Structural analysis,oefos
oefos:201105,Construction material practice,oefos
oefos:201106,Structural engineering,oefos
oefos:201109,Bridge construction,oefos
oefos:201111,River engineering,oefos
oefos:201112,Building construction,oefos
oefos:201113,Timber engineering,oefos
oefos:201114,Industrial building,oefos
oefos:201115,Structural hydraulic engineering,oefos
oefos:201116,Agricultural civil engineering,oefos
oefos:201118,Urban water supply and sanitation,oefos
oefos:201119,Steel construction,oefos
oefos:201120,Reinforced concrete construction,oefos
oefos:201122,Technical flood protection,oefos
oefos:201123,Underground engineering,oefos
oefos:201124,Structural design,oefos
oefos:201125,Hydraulic engineering,oefos
oefos:201126,Hydropower plant construction,oefos
oefos:201127,Torrent and avalanche control,oefos
oefos:201128,Sustainable building,oefos
oefos:201129,Earthquake engineering,oefos
oefos:201130,Structural glass construction,oefos
oefos:201131,Building history,oefos
oefos:201201,History of architecture,oefos
oefos:201202,Architectural modelling,oefos
oefos:201203,Architectural theory,oefos
oefos:201204,Barrier-free building,oefos
oefos:201205,Building research,oefos
oefos:201206,Designing,oefos
oefos:201207,Building typology,oefos
oefos:201208,Industrial architecture,oefos
oefos:201209,Interior design,oefos
oefos:201210,Landscape architecture,oefos
oefos:201211,Solar architecture,oefos
oefos:201212,Urban design,oefos
oefos:201213,Housing,oefos
oefos:201214,Experimental architecture,oefos
oefos:201215,Building cultural heritage,oefos
oefos:201301,Railway construction,oefos
oefos:201302,Railway engineering,oefos
oefos:201303,Ropeways,oefos
oefos:201304,Road construction,oefos
oefos:201305,Traffic engineering,oefos
oefos:201306,Traffic telematics,oefos
oefos:201901,Old building renovation,oefos
oefos:201902,Building ecology,oefos
oefos:201903,Soil bioengineering,oefos
oefos:201904,Vegetation technology,oefos
oefos:201905,Building within existing structures,oefos
oefos:201906,Building-integrated vegetation,oefos
oefos:202001,Audio technology,oefos
oefos:202003,Automation,oefos
oefos:202004,Brain-computer interface,oefos
oefos:202005,Computer architecture,oefos
oefos:202006,Computer hardware,oefos
oefos:202007,Computer integrated manufacturing (CIM),oefos
oefos:202008,Electrical power systems,oefos
oefos:202009,Electrical drive engineering,oefos
oefos:202010,Electric power engineering,oefos
oefos:202011,Electrical machines,oefos
oefos:202012,Electrical measurement technology,oefos
oefos:202013,Electromagnetic compatibility,oefos
oefos:202014,Electromagnetism,oefos
oefos:202015,Electronics,oefos
oefos:202016,Electrical engineering,oefos
oefos:202017,Embedded systems,oefos
oefos:202018,Semiconductor electronics,oefos
oefos:202019,High frequency engineering,oefos
oefos:202020,High voltage engineering,oefos
oefos:202021,Industrial electronics,oefos
oefos:202022,Information technology,oefos
oefos:202023,Integrated circuits,oefos
oefos:202024,Laser technology,oefos
oefos:202025,Power electronics,oefos
oefos:202026,Light technology,oefos
oefos:202028,Microelectronics,oefos
oefos:202029,Microwave engineering,oefos
oefos:202030,Communication engineering,oefos
oefos:202031,Network engineering,oefos
oefos:202032,Photovoltaics,oefos
oefos:202033,Radar technology,oefos
oefos:202034,Control engineering,oefos
oefos:202035,Robotics,oefos
oefos:202036,Sensor systems,oefos
oefos:202037,Signal processing,oefos
oefos:202038,Telecommunications,oefos
oefos:202039,Theoretical electrical engineering,oefos
oefos:202040,Transmission technology,oefos
oefos:202041,Computer engineering,oefos
oefos:202042,Optical communication engineering,oefos
oefos:202043,Network security,oefos
