id,title,url
CATOSL-1.1,Computer Associates Trusted Open Source License 1.1,http://spdx.org/licenses/CATOSL-1.1.json
CC-BY-1.0,Creative Commons Attribution 1.0 Generic,http://spdx.org/licenses/CC-BY-1.0.json
CC-BY-2.0,Creative Commons Attribution 2.0 Generic,http://spdx.org/licenses/CC-BY-2.0.json
CC-BY-2.5,Creative Commons Attribution 2.5 Generic,http://spdx.org/licenses/CC-BY-2.5.json
CC-BY-3.0,Creative Commons Attribution 3.0 Unported,http://spdx.org/licenses/CC-BY-3.0.json
CC-BY-3.0-AT,Creative Commons Attribution 3.0 Austria,http://spdx.org/licenses/CC-BY-3.0-AT.json
CC-BY-3.0-US,Creative Commons Attribution 3.0 United States,http://spdx.org/licenses/CC-BY-3.0-US.json
CC-BY-4.0,Creative Commons Attribution 4.0 International,http://spdx.org/licenses/CC-BY-4.0.json
CC-BY-NC-1.0,Creative Commons Attribution Non Commercial 1.0 Generic,http://spdx.org/licenses/CC-BY-NC-1.0.json
CC-BY-NC-2.0,Creative Commons Attribution Non Commercial 2.0 Generic,http://spdx.org/licenses/CC-BY-NC-2.0.json
CC-BY-NC-2.5,Creative Commons Attribution Non Commercial 2.5 Generic,http://spdx.org/licenses/CC-BY-NC-2.5.json
CC-BY-NC-3.0,Creative Commons Attribution Non Commercial 3.0 Unported,http://spdx.org/licenses/CC-BY-NC-3.0.json
CC-BY-NC-4.0,Creative Commons Attribution Non Commercial 4.0 International,http://spdx.org/licenses/CC-BY-NC-4.0.json
CC-BY-NC-ND-1.0,Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,http://spdx.org/licenses/CC-BY-NC-ND-1.0.json
CC-BY-NC-ND-2.0,Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,http://spdx.org/licenses/CC-BY-NC-ND-2.0.json
CC-BY-NC-ND-2.5,Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,http://spdx.org/licenses/CC-BY-NC-ND-2.5.json
